shot_id,MatchId,goal,x,y,dist,angle,y_off,n_def_cone,n_def_3m,n_def_5m,d_def_min,n_att_box,n_def_box,shooter_speed,ball_z,ball_speed,gk_dist_goal,gk_dist_shot,gk_in_cone,gk_off_line,ev.EventId,ev.MatchId,setpiece_parent,outcome,xG,DistanceToGoal,AngleToGoal,Pressure,GoalDistanceGoalkeeper,AmountOfDefenders,PlayerSpeed,TypeOfShot,TakerBallControl,TakerSetup,BuildUp,ShotOrigin,InsideBox,CounterAttack,ChanceEvaluation,ShotCondition,AssistTypeShotAtGoal,SetupOrigin,ExtendedTypeOfShot,Player,Team
18226900000027,DFL-MAT-J03WN1,0,95.27,39.7,11.276652872195726,32.048473028236444,5.700000000000003,1,1,3,2.6744158240632743,5,10,4.11,0.0,52.92,0.2640075756488833,11.06146464081498,1,0.15148111938533187,18226900000027,DFL-MAT-J03WN1,openPlay,BlockedShot,0.0785,11.28,32.05,1.0,0.11,3.0,4.11,rightLeg,volley,cornerKick,cornerKick,3,1,0,chance,notComplicated,direct,right,frontalVolley,DFL-OBJ-J013O2,DFL-CLU-00000B
18226900000033,DFL-MAT-J03WN1,0,87.81,18.98,22.827538194032222,13.919940310804634,15.02,0,1,3,2.5462914208707503,3,7,8.42,0.0,11.63,2.8049242414011877,20.076227235215278,1,0.5118028891549148,18226900000033,DFL-MAT-J03WN1,openPlay,ShotWide,0.0239,22.83,13.92,0.64,1.74,1.0,8.42,rightLeg,direct,otherPassFromOpenPlay,passOpenPlay,4,1,0,chance,notComplicated,direct,right,,DFL-OBJ-002G8H,DFL-CLU-00000B
18226900000272,DFL-MAT-J03WN1,1,97.54,36.61,7.903398003390687,48.058255874262954,2.6099999999999994,0,1,1,1.7240939649566613,2,3,20.62,0.76,63.92,3.0875556675143625,5.604043183274008,1,1.714212038187585,18226900000272,DFL-MAT-J03WN1,openPlay,SuccessfulShot,0.8438,7.9,48.06,0.68,2.99,1.0,20.62,leftLeg,volley,crossFromOpenPlay,crossOpenPlay,3,1,0,sitter,notComplicated,direct,right,frontalVolley,DFL-OBJ-0027LO,DFL-CLU-00000S
18226900000281,DFL-MAT-J03WN1,0,84.28,47.7,24.83965378180622,14.10476290377428,13.700000000000003,1,0,1,4.442938216991097,0,1,16.15,0.0,16.47,3.4177477964296856,21.571096402362127,1,0.9305202159029248,18226900000281,DFL-MAT-J03WN1,openPlay,ShotWide,0.0405,24.84,14.1,0.32,2.23,1.0,16.15,leftLeg,dribblingLess10m,otherPassFromOpenPlay,passOpenPlay,7,0,0,chance,notComplicated,direct,insideLeft,,DFL-OBJ-000199,DFL-CLU-00000S
18226900000325,DFL-MAT-J03WN1,0,90.87,35.39,14.198204111788218,28.793313770446133,1.3900000000000006,1,2,2,1.3136590120727583,4,8,8.81,0.12,3.99,1.3917614738165418,12.837460808119335,1,0.2778238690571367,18226900000325,DFL-MAT-J03WN1,openPlay,ShotWide,0.0448,14.2,28.79,1.4,1.33,4.0,8.81,rightLeg,controlShot,otherPassFromOpenPlay,passOpenPlay,3,1,0,chance,notComplicated,direct,insideRight,,DFL-OBJ-002G02,DFL-CLU-00000B
18226900000380,DFL-MAT-J03WN1,0,85.12,28.53,20.618809373967252,19.464990320348747,5.469999999999999,1,0,1,4.726034278335271,3,6,15.5,0.07,22.76,2.0967832506007946,18.642682210454574,1,0.6664691326624324,18226900000380,DFL-MAT-J03WN1,openPlay,SavedShot,0.0593,20.62,19.46,0.04,1.74,2.0,15.5,rightLeg,direct,otherPassFromOpenPlay,passOpenPlay,8,0,0,chance,notComplicated,direct,insideRight,,DFL-OBJ-J013O2,DFL-CLU-00000B
18226900000439,DFL-MAT-J03WN1,0,97.21,41.04,10.499795236098658,30.488461372119907,7.039999999999999,1,2,5,0.8955445270895401,5,8,6.15,2.94,37.15,2.5804263213662977,7.920107322505173,1,0.05361056928660455,18226900000439,DFL-MAT-J03WN1,openPlay,ShotWide,0.012,10.5,30.49,1.68,1.95,3.0,6.15,head,volley,throwIn,throwIn,3,1,0,chance,veryComplicated,direct,left,frontalVolley,DFL-OBJ-0000YV,DFL-CLU-00000S
18226900000449,DFL-MAT-J03WN1,0,96.56,45.89,14.581004766476143,17.230171448917748,11.89,0,1,1,1.247397290361014,1,1,25.32,0.0,21.87,6.192002906976061,8.449153803784139,1,0.6549137149968695,18226900000449,DFL-MAT-J03WN1,openPlay,ShotWide,0.1869,14.58,17.23,0.68,3.49,1.0,25.32,leftLeg,dribblingMore10m,otherPassFromOpenPlay,passOpenPlay,2,1,1,chance,notComplicated,direct,insideLeft,,DFL-OBJ-0027FG,DFL-CLU-00000S
18226900000478,DFL-MAT-J03WN1,1,95.53,27.86,11.286297001231183,31.30605297523426,6.140000000000001,0,1,4,2.4709512338368786,6,9,19.92,0.0,61.15,1.534438007871287,9.792578822761651,1,0.3270426074732387,18226900000478,DFL-MAT-J03WN1,openPlay,SuccessfulShot,0.1542,11.29,31.31,0.61,1.08,2.0,19.92,rightLeg,volley,cornerKick,cornerKick,3,1,0,chance,notComplicated,direct,left,frontalVolley,DFL-OBJ-0027FG,DFL-CLU-00000S
18226900000500,DFL-MAT-J03WN1,0,86.77,50.54,24.615127462599094,12.692265164524196,16.54,1,1,1,2.720827080135749,2,5,8.74,0.17,4.58,1.7440183485273353,22.880098338949505,1,0.17049678115121863,18226900000500,DFL-MAT-J03WN1,openPlay,SavedShot,0.0199,24.62,12.69,0.55,1.4,2.0,8.74,rightLeg,dribblingLess10m,otherPassFromOpenPlay,passOpenPlay,7,0,1,chance,notComplicated,others,insideLeft,,DFL-OBJ-002GBK,DFL-CLU-00000B
