shot_id,match_id,goal,M0,M1,M2,REF
18233800001334,DFL-MAT-J03WOY,0,0.05750148938980174,0.06472801137898003,0.05434913798903844,0.0717
18233800001353,DFL-MAT-J03WOY,0,0.35769547523266887,0.35456780282208344,0.4303915705548934,0.467
18233800001371,DFL-MAT-J03WOY,0,0.029514598609121288,0.0347957773571256,0.043104636866004985,0.0211
18237400000209,DFL-MAT-J03WPY,0,0.17182653153963792,0.2057295766690427,0.11814524669768169,0.1432
18237400000279,DFL-MAT-J03WPY,0,0.09622186133863757,0.12006539038414929,0.08687204561921164,0.0934
18237400000283,DFL-MAT-J03WPY,0,0.020769320265137805,0.0281481746117467,0.03730223364460916,0.0554
18237400000357,DFL-MAT-J03WPY,0,0.015205061968830062,0.020902800879813204,0.03405334956813922,0.0289
18237400000369,DFL-MAT-J03WPY,0,0.002103761076263938,0.0031426069318161425,0.005107347394130247,0.0205
18237400000411,DFL-MAT-J03WPY,0,0.005407753896180588,0.007772246189495758,0.006159682775704175,0.0171
18237400000414,DFL-MAT-J03WPY,0,0.18143571956420917,0.21629763949418304,0.14269297329197786,0.0915
18237400000433,DFL-MAT-J03WPY,0,0.015769782644693073,0.02164361018964402,0.0292660245352922,0.0291
18237400000500,DFL-MAT-J03WPY,0,0.00477760404557002,0.006901960884366679,0.006263504190868026,0.0198
18237400000677,DFL-MAT-J03WPY,0,0.1234543814868733,0.15148441802821228,0.08741994375802184,0.1423
18237400000708,DFL-MAT-J03WPY,0,0.08838065551362943,0.11088132517716516,0.1214645002967254,0.1235
18237400000759,DFL-MAT-J03WPY,0,0.07602103058472064,0.09626549220821495,0.22156958102874577,0.1118
18237400000797,DFL-MAT-J03WPY,1,0.3929164080450192,0.4358706467361348,0.5088512598259428,0.5674
18237400000832,DFL-MAT-J03WPY,0,0.03763920035887317,0.049555259405775355,0.06642679628238118,0.0739
18237400000860,DFL-MAT-J03WPY,0,0.11988772212457663,0.14740889246495725,0.21769365575064922,0.082
18237400000929,DFL-MAT-J03WPY,0,0.029928020918237683,0.03985857357692575,0.1010823134614088,0.0468
18237400001072,DFL-MAT-J03WPY,0,0.021762963020040077,0.029430517321365493,0.02700868456930359,0.0242
18237400001144,DFL-MAT-J03WPY,0,0.11337838882392126,0.13994124624741328,0.14366366555906337,0.1255
18237400001163,DFL-MAT-J03WPY,0,0.007842251586768857,0.011096516142441972,0.0152142607370599,0.0387
18237400001175,DFL-MAT-J03WPY,0,0.06932460683263075,0.08826977108278443,0.0911557835704978,0.0525
18237400001394,DFL-MAT-J03WPY,0,0.01536793387414327,0.02111659768110452,0.0365565638981568,0.0353
18237400001400,DFL-MAT-J03WPY,0,0.03633990899654994,0.047930516341658604,0.03640118834328302,0.0718
