shot_id,MatchId,goal,xG,open_frac,open_frac_nogk,open_angle,gk_block_share,def_closing,orient,n_corridor,d_corridor,score_diff,minute,ball_z
18226500001126,DFL-MAT-J03WMX,0,0.0258,0.4297520661157025,0.5702479338842975,12.445501773337083,0.14049586776859502,1.361753275891327,100.45311487702799,4,1.7458367007028983,-1,78.26528333333334,1.84
18226500001292,DFL-MAT-J03WMX,0,0.0466,0.2809917355371901,0.33884297520661155,11.4059630191525,0.05785123966942146,0.9935389065793908,14.40582816645073,4,0.3982853918021825,1,87.1799,1.94
18226500001277,DFL-MAT-J03WMX,0,0.0815,0.15702479338842976,0.19834710743801653,3.955781279530861,0.04132231404958678,0.5644384125577507,85.19023460637234,3,2.525274399371642,1,87.8936,0.09
18226500001279,DFL-MAT-J03WMX,0,0.0544,0.0,1.0,0.0,1.0,1.3683544084025154,33.92130284570826,1,0.6007176548339886,1,87.95323333333334,1.67
18226500001344,DFL-MAT-J03WMX,0,0.2451,0.33884297520661155,0.33884297520661155,17.068555353436786,0.0,2.4856997988635854,8.910648025214169,1,1.4767867588180001,-1,92.50723333333333,0.15
18226500001347,DFL-MAT-J03WMX,0,0.0577,0.7024793388429752,1.0,10.286424228786556,0.2975206611570248,-0.08773339633451623,37.32852014483638,1,0.6387626623120644,1,92.8749,0.2
18226500001392,DFL-MAT-J03WMX,0,0.1118,0.6033057851239669,0.7851239669421488,15.253114372836182,0.18181818181818188,3.6804257134701057,53.373701482733395,2,1.7538730492196355,1,95.19646666666667,0.11
18226500001554,DFL-MAT-J03WMX,1,0.0498,0.5041322314049587,0.512396694214876,9.602340930653241,0.008264462809917328,1.7719608757548542,61.64572478486504,4,0.5115057647254806,1,107.0679,0.0
18226900000020,DFL-MAT-J03WN1,0,0.0354,0.0,0.0,0.0,0.0,3.8990890554441164,26.059618850077843,2,1.123633437227622,0,0.0,0.0
18226900000023,DFL-MAT-J03WN1,0,0.0426,0.8181818181818182,1.0,17.1336275246339,0.18181818181818177,4.366350310481138,31.437096473811806,2,2.389453010517535,0,0.08348333333333334,0.53
18226900000027,DFL-MAT-J03WN1,0,0.0785,0.6859504132231405,0.6859504132231405,21.983663316889462,0.0,0.4298613680305506,129.4126408680914,2,2.376228150648266,0,0.9612999999999999,0.0
18226900000033,DFL-MAT-J03WN1,0,0.0239,0.7272727272727273,0.9008264462809917,10.123592953312462,0.17355371900826444,3.3384100124953613,31.533670788316844,1,2.4661266371122412,0,1.19075,0.0
18226900000272,DFL-MAT-J03WN1,1,0.8438,0.8099173553719008,1.0,38.923215501469166,0.1900826446280992,0.0009373375126979037,32.650990803659425,1,1.0168411101847705,0,17.186933333333332,0.76
18226900000281,DFL-MAT-J03WN1,0,0.0405,0.256198347107438,0.4132231404958678,3.613616942289278,0.15702479338842978,1.0364475155767676,46.97605453967771,1,5.132607769814472,1,18.6774,0.0
18226900000325,DFL-MAT-J03WN1,0,0.0448,0.5454545454545454,0.5867768595041323,15.705443874788799,0.04132231404958686,2.7647108613083833,98.99355919047089,3,0.9229124963149655,-1,21.820266666666665,0.12
18226900000380,DFL-MAT-J03WN1,0,0.0593,0.7024793388429752,0.7768595041322314,13.6737535308235,0.07438016528925617,3.8931599791044746,18.790733038234624,1,11.042926672937659,-1,25.924483333333335,0.07
18226900000439,DFL-MAT-J03WN1,0,0.012,0.0,0.0,0.0,0.0,0.48209675791621304,0.7263225200237479,3,0.2836817226453675,1,29.569383333333334,2.94
18226900000449,DFL-MAT-J03WN1,0,0.1869,0.7107438016528925,1.0,12.246237558734927,0.2892561983471075,-0.22764499655945922,44.1449562935896,1,0.8443451049618782,1,30.389866666666666,0.0
18226900000478,DFL-MAT-J03WN1,1,0.1542,0.8429752066115702,1.0,26.39022647499086,0.15702479338842978,1.9522713274270658,26.75444504672419,0,40.0,1,32.75693333333333,0.0
18226900000500,DFL-MAT-J03WN1,0,0.0199,0.0,0.0,0.0,0.0,3.0558514952500846,45.999727781214986,1,2.7177271416386355,-2,34.755,0.17
