shot_id,match_id,goal,DFL0,DFL1,DFL2,REF
18237400000929,DFL-MAT-J03WPY,0,0.06697795976014552,0.08275859188425172,0.14709159491028653,0.0468
18237400001072,DFL-MAT-J03WPY,0,0.09296863069915869,0.059454845388978224,0.05066367842838778,0.0242
18237400001144,DFL-MAT-J03WPY,0,0.10393030098003181,0.1357200983341774,0.13445732846618072,0.1255
18237400001163,DFL-MAT-J03WPY,0,0.044306402056764074,0.05668765153877837,0.05774738287460705,0.0387
18237400001175,DFL-MAT-J03WPY,0,0.13030206270201689,0.12867057464680212,0.1404493636719995,0.0525
18237400001394,DFL-MAT-J03WPY,0,0.07215086098943986,0.05155007600813763,0.07667403273391535,0.0353
18237400001400,DFL-MAT-J03WPY,0,0.08682391459231188,0.039036635302323215,0.03300019671993337,0.0718
18237400001417,DFL-MAT-J03WPY,0,0.07722468721906857,0.056196384011060425,0.056477372686659554,0.089
18237400001436,DFL-MAT-J03WPY,0,0.11177636618564894,0.05901112932859867,0.043133154217808334,0.0923
18240200000048,DFL-MAT-J03WQQ,0,0.053631610678272386,0.05461654880484148,0.0652384233819213,0.0251
18240200000164,DFL-MAT-J03WQQ,0,0.06978775613571402,0.019250778616887423,0.02213686128511437,0.0375
18240200000195,DFL-MAT-J03WQQ,0,0.17857219291950177,0.11716068430958924,0.089953879392779,0.1666
18240200000220,DFL-MAT-J03WQQ,0,0.2178797270668262,0.27801162212806424,0.2961759427057554,0.2479
18240200000224,DFL-MAT-J03WQQ,0,0.16411530013486555,0.07035063072943115,0.061326403850041164,0.0298
18240200000248,DFL-MAT-J03WQQ,0,0.2737215040533655,0.13896435668448043,0.17617031300462788,0.2628
18240200000251,DFL-MAT-J03WQQ,0,0.11049601605416438,0.08551212909250112,0.09708162951780128,0.0616
18240200000330,DFL-MAT-J03WQQ,0,0.09855052484747963,0.056406489141215516,0.04989731210038349,0.0245
18240200000386,DFL-MAT-J03WQQ,1,0.052795405050050315,0.06023498240613103,0.06739984634541908,0.0482
18240200000419,DFL-MAT-J03WQQ,0,0.12396002478736613,0.3599988051682817,0.35315329480223523,0.171
18240200000656,DFL-MAT-J03WQQ,0,0.13433161855400333,0.15061614170607038,0.1431808363698921,0.1153
18240200000706,DFL-MAT-J03WQQ,0,0.08592828647136388,0.12472454526564443,0.15779113275314005,0.2213
18240200000758,DFL-MAT-J03WQQ,0,0.06719165962928021,0.03403128954928658,0.029409118961222898,0.0365
18240200000762,DFL-MAT-J03WQQ,0,0.07749622510047688,0.23587119227000275,0.23228939346399063,0.0417
18240200000801,DFL-MAT-J03WQQ,0,0.06752976783297718,0.04810140991044456,0.04178841518078254,0.0324
18240200000922,DFL-MAT-J03WQQ,0,0.11567334237532693,0.0847733861373282,0.10609412400389871,0.1204
18240200000955,DFL-MAT-J03WQQ,0,0.06899115168827274,0.06912906494668707,0.07153794805574848,0.0401
18240200001036,DFL-MAT-J03WQQ,0,0.20940194194185957,0.052503869723425106,0.05668349048407567,0.047
18240200001060,DFL-MAT-J03WQQ,0,0.047833855885106254,0.009296190722857853,0.008110633187546323,0.0563
18240200001066,DFL-MAT-J03WQQ,0,0.10415458608995723,0.0576544949285604,0.06128469238041448,0.0861
18240200001075,DFL-MAT-J03WQQ,0,0.057390163711459684,0.04508516050317531,0.04474768781048963,0.0264
18240200001089,DFL-MAT-J03WQQ,0,0.21123983912471864,0.18439715553911928,0.16110676907716107,0.1405
18240200001210,DFL-MAT-J03WQQ,0,0.062217217299643524,0.03971762746993411,0.03186702578030283,0.0439
18240200001227,DFL-MAT-J03WQQ,0,0.22837062844068454,0.20526975848529638,0.22166892003121214,0.1353
18240200001444,DFL-MAT-J03WQQ,0,0.09114793022745082,0.03325086526352823,0.02942687832203322,0.0485
18240200001463,DFL-MAT-J03WQQ,0,0.03833618025790698,0.024422927290162842,0.02481071827670305,0.0226
18240200001478,DFL-MAT-J03WQQ,0,0.11610436099174615,0.06470810504537147,0.046363610565741675,0.046
18242100000110,DFL-MAT-J03WR9,0,0.21595892013758441,0.10607223242563456,0.15760439094734746,0.0823
