shot_id,match_id,goal,ref_xg,split,A_LogReg,A_GBM,B_LogReg,B_GBM,C_LogReg,C_GBM,D_LogReg,D_GBM,P_LogReg,P_GBM
bfc97690-00ac-41d6-896c-ec26c6a45efe,265894,0,0.08370209,dev,0.1244243828701394,0.12394341126614922,0.08363981821464408,0.06084247374532704,0.04784027020221786,0.060027442574510405,0.047933054977296795,0.04966020722950028,0.074754883792162,0.07037596118679325
dbab8818-974a-47df-a756-304f9c248f19,265894,0,0.076472014,dev,0.09487700115588925,0.09926165504934206,0.08624548232104579,0.17948337770936487,0.04266010408841702,0.05933341303201323,0.04123475114777311,0.0706360357613596,0.06884776608121312,0.0819964613565398
bc5aeb59-08b9-4a79-87fc-3b2fa1c18c10,265894,0,0.062384196,dev,0.12789076087137785,0.08011649602097706,0.10436948811785775,0.06900123074526152,0.09280572549478242,0.03120872010078149,0.08955197312189594,0.024382796415920695,0.07774753837846544,0.024735757147427477
823a060f-e6d0-4ada-9ccd-5f16d307dbd1,265894,0,0.22053735,dev,0.1652782559353909,0.1953611269423131,0.260436222039892,0.6165621709319169,0.19124084487464463,0.42433910949166276,0.20064781610719906,0.5234837499496143,0.19590215979954342,0.32127037258610425
e80cc87f-ca58-4dc5-8858-e111b3a4df3d,265894,0,0.1885868,dev,0.3831157973448034,0.35815553462057687,0.35151394525086543,0.468295997538492,0.1492374520395327,0.06685056694862938,0.1461115511553342,0.08160929843365007,0.19366121437166964,0.06885227126885855
5119c069-7744-4618-9662-0cf166178400,265894,0,0.024582764,dev,0.0437221624858174,0.040744908707095746,0.0447750394953027,0.03314282422239548,0.0268118476664462,0.0218935189033068,0.025338471733670268,0.02436843475283121,0.027432397003181824,0.022510749694587127
b3c79734-58bc-401b-aa29-49e88c20eea4,265894,0,0.07766422,dev,0.06440764153037484,0.05202962033823393,0.05468787407227354,0.04296137826776361,0.07441585110830055,0.05914446558444958,0.07382674678696251,0.051974898946210865,0.14329852774053595,0.11298332647102942
811d98b4-0e0d-4fe2-a1bd-06a274def6ec,265944,0,0.373829,test,0.2984453567551444,0.25205240482517355,0.36423357878042145,0.28750745131501343,0.3904873922386787,0.37475896827984556,0.3696794227668286,0.36921981387297104,0.2740212265620969,0.28011854672663633
c8d9a887-86ca-4862-b560-130b1ef5c7fe,265944,0,0.03902529,test,0.05319898219145731,0.05490074976951867,0.05148896129145477,0.04605765044204259,0.028134506656377074,0.02407872925918689,0.02807906237912876,0.020412335965164893,0.01767417858894951,0.022564446768356693
74254798-ae64-4af4-8b4a-8dc7860b7064,265944,0,0.2006163,test,0.1811030842652538,0.23663106784051474,0.19956487177735127,0.3318866843387808,0.1828192488480959,0.25996225906820314,0.1723630697822956,0.21222012030253307,0.24602275995958278,0.22477825704261017
c155853d-1685-47ba-a755-58f8282b3873,265944,1,0.26515892,test,0.10632943019462018,0.14784784975847737,0.11845436254770303,0.19237091806109183,0.24388736581068546,0.2604562005248603,0.23655197130373168,0.22822187066866417,0.19082881700184978,0.11382664505207887
80294e2c-f5b3-404d-8442-f38e735b4749,265944,0,0.15127519,test,0.10254244927010032,0.11084616695467718,0.11595356433742403,0.11277734610198616,0.13871685590006325,0.08839467359877116,0.13912289672629924,0.07935886134561755,0.11016737489607031,0.11700924395987986
5d23cc61-0d3a-4902-9c16-1f7613a4302e,265944,0,0.031189092,test,0.027002668041767687,0.03590804112388333,0.028419766558680597,0.023882158576618483,0.01607822824966129,0.014674402047272923,0.014996799317716534,0.011999672963340188,0.01024551525027114,0.017528140255092656
ed71c174-e7da-447a-996b-cb82ae0b5d38,265944,0,0.041563563,test,0.037166127092083036,0.06578206810524681,0.03589459079739603,0.03346166937840512,0.03348229984367627,0.03217778476608065,0.0336357600463024,0.03228078570363962,0.023867881321832374,0.025771240371499523
bf0f81fc-3543-45fd-b181-34ab4e5a7840,265944,0,0.15751874,test,0.17530177086971505,0.18030276200543247,0.174242954722616,0.21340096799519312,0.16295883455598553,0.25692196808012413,0.1565116213236464,0.30686569653526213,0.17229955594549068,0.22473112254552832
f546af38-0332-4a63-8322-5bae01104013,265944,0,0.024206055,test,0.013666483086654264,0.013847616655838762,0.010754596072382598,0.017996878961745358,0.0038206142529198343,0.012908253592345756,0.003573905755658762,0.012620879113662817,0.008025475456617075,0.013828714779608602
d5420193-33c4-4eef-9932-15c502366e9a,265944,0,0.10260095,test,0.1808750733603323,0.15454196914606208,0.1717257627052182,0.16352433826242788,0.10986658656364089,0.1183205476935869,0.11376440714001042,0.12931246646872224,0.07947489662539005,0.08792210614978824
ed76effa-6c9a-4bee-9d28-727bd8ec5f83,265944,0,0.021751402,test,0.06161516529898448,0.017926436281052973,0.04608949924019773,0.01477459197397225,0.050485033929516844,0.04309444844712283,0.05321489202455809,0.04065722484009555,0.09697028371220943,0.03869172552938859
7d4a0e4d-fb36-4bf9-9ecb-094cc671d163,265944,0,0.038565822,test,0.03382710481344544,0.038892865256360605,0.03550930082118418,0.034170840034713434,0.04637847008484022,0.035965942913112524,0.04553194188177521,0.024476052425374508,0.029793710569924466,0.02716422507307456
1e97b37b-9d95-4135-ad37-6823b90696cc,265944,0,0.102951586,test,0.35119599882694874,0.19398949446761954,0.28201624272566417,0.19023405066504298,0.2065784086739287,0.13468322543124753,0.1949118520225431,0.1386120573349121,0.07913038839281267,0.06702110950484609
6c15c8bf-faa7-4eb8-998b-63f131a63394,265944,0,0.037909128,test,0.04190052000576537,0.07499379209522047,0.03250354548651916,0.03628963331221411,0.018334754936141406,0.02530907627256755,0.018296517827745194,0.028919057540392222,0.018475683959546352,0.019728615540624925
bf0359b3-1db3-451d-9c24-c191764dd8ed,265944,0,0.06802601,test,0.2135049620530882,0.23161618453507643,0.22828981142099086,0.40321956774148987,0.111452574082461,0.07246697313053126,0.10910090544096142,0.053825267374458675,0.07004711449485239,0.04448923533269666
7b44ea5d-7753-4330-b64b-dfbf101eb923,265944,0,0.013508299,test,0.014894979156942318,0.01334639311454241,0.011995988955719076,0.02641895992333789,0.02152792121938791,0.01576258409085865,0.017144543573491662,0.011918854654852538,0.04177383599585094,0.02195847556122174
04c2c164-37ba-4a8f-a31d-0796c9ccae5f,265944,0,0.17624219,test,0.19042106487830437,0.16341278110297347,0.3261952348884907,0.2990603140092959,0.23298032119352094,0.3047389997479921,0.2410597268004131,0.353781746037069,0.167851407951528,0.22312762145018472
8013ed79-47a7-49b6-95d3-4847e0b5e8ef,265944,0,0.008533415,test,0.02747695328109701,0.014408837562558412,0.02711103910841698,0.02205899494192849,0.031993745163084945,0.02259631126445418,0.029731012451395516,0.019117724819273464,0.03127168134684434,0.016257225175212792
813b3058-a269-42e9-b2ea-91c2a17480ec,265944,1,0.43783498,test,0.4019113882620843,0.49014534455000525,0.39678136128859726,0.5967967792915858,0.4027931762346796,0.4767792796521558,0.33916259043665886,0.41017667061343016,0.2774727999184039,0.3542668635001847
d66097b8-0993-4605-9a5b-7eaea97c1a4a,265944,0,0.0061936476,test,0.0027654368483138927,0.004944015047316264,0.004515911127777685,0.004713062439588374,0.006181065054488635,0.007905898866323906,0.005575067648521677,0.006659431757777647,0.005463722011623355,0.014753768054879527
d692d5c1-4b7f-4f25-8c3c-e72e45311695,265944,0,0.042025223,test,0.07139982797765014,0.06406188109569934,0.08225577585285951,0.09745311527799821,0.03271107060046551,0.020276990743787818,0.03493384053081293,0.020368437419908923,0.022424814356142717,0.017059095429798315
291cbbb6-e5fa-4be2-9297-d457b0db9e86,265944,0,0.0950242,test,0.2994844437464624,0.3844312827372613,0.28496820469020523,0.37143832814454275,0.18552640094504258,0.14795941520392966,0.18562408229301924,0.1564369357087257,0.21734923995124505,0.187790354568792
d63beac9-ca3f-4c74-9de1-ad427d6a3bb2,265944,0,0.13618739,test,0.16827637650577038,0.14082340448421118,0.1063733674637009,0.15132969760272927,0.18319691844862224,0.2083374126937412,0.16616098128660933,0.24413314120379256,0.18029233461922173,0.23515407849478437
9a79a27e-0524-490d-8828-aa6996d23d74,265944,1,0.21101259,test,0.18691041620162163,0.20454312214548537,0.16777016050534332,0.16903690265307186,0.13990014950410068,0.13266422850874474,0.13722339021907803,0.09051379008774675,0.14001909839683696,0.09982651890779475
54486dd0-d0e5-4eab-8db8-f1c1138cfc7d,265958,1,0.07573616,test,0.13354583514424911,0.12444528338960707,0.14034008034815632,0.10268823861991631,0.12330751005315543,0.17283383215904852,0.1272809696067391,0.18227699230797723,0.10359617709247036,0.205336395962145
9a5c7f6f-3b7f-4624-970a-84d308709c66,265958,0,0.10656489,test,0.15319055384140282,0.15091196197674733,0.16146444232331034,0.12959686153808084,0.14655576255550423,0.0936257737888985,0.15147606325888402,0.09677617098863625,0.10880233064559147,0.1521666211134865
f8a3c402-fec2-4bdb-9747-18bee113fc78,265958,0,0.29718226,test,0.4723972760664932,0.44367502416072346,0.36094043542391113,0.33165090790491963,0.32315092311500787,0.24304141236879526,0.3211762110163872,0.2901106190259886,0.36406314531001377,0.24953328303878017
8a378f42-0d97-4baa-a94d-15ffc20c7084,265958,0,0.10039073,test,0.19302492212708453,0.23366933531073708,0.17637396832839836,0.2809465629605221,0.12072275291691642,0.05402888157938298,0.1258768409878006,0.055473920145119995,0.10707519155096074,0.043816878162115366
b759b5f5-9d53-4476-b2f2-74384f0ba312,265958,0,0.039084595,test,0.05363041963391004,0.041969087964003594,0.05178909237467585,0.035792238246508616,0.06356128929343575,0.03408079724792238,0.06213317771312627,0.03254272346056724,0.07077859308449877,0.03455428174258125
