MatchId,X-Source-Position,EventTime,Y-Source-Position,EventId,X-Position,Y-Position,_type,_sub,CalculatedFrame,CalculatedTimestamp,X-PositionFromTracking,Y-PositionFromTracking,ShotAtGoal.Team,ShotAtGoal.Pressure,ShotAtGoal.GoalDistanceGoalkeeper,ShotAtGoal.ShotOrigin,ShotAtGoal.AssistTypeShotAtGoal,ShotAtGoal.AssistShotAtGoal,ShotAtGoal.AngleToGoal,ShotAtGoal.PlayerSpeed,ShotAtGoal.TakerBallControl,ShotAtGoal.CounterAttack,ShotAtGoal.Player,ShotAtGoal.ChanceEvaluation,ShotAtGoal.SetupOrigin,ShotAtGoal.TypeOfShot,ShotAtGoal.TakerSetup,ShotAtGoal.AfterFreeKick,ShotAtGoal.DistanceToGoal,ShotAtGoal.InsideBox,ShotAtGoal.SignificanceEvaluation,ShotAtGoal.BuildUp,ShotAtGoal.AssistAction,ShotAtGoal.xG,ShotAtGoal.BallPossessionPhase,ShotAtGoal.AmountOfDefenders,ShotAtGoal.ShotCondition,ShotWide.Placing,ShotWide.PitchMarking,ShotAtGoal.ExtendedTypeOfShot,SuccessfulShot.CurrentResult,SuccessfulShot.GoalZone,SuccessfulShot.RefDecisionEvaluation,SuccessfulShot.Assist,SuccessfulShot.AssistType,SuccessfulShot.Solo,SavedShot.SaveEvaluation,SavedShot.GoalKeeper,SavedShot.SaveType,SavedShot.SaveResult,BlockedShot.Player,BlockedShot.GoalPrevented,ShotAtGoal.ShotContribution,ShotWoodWork.Location,ShotAtGoal.SitterContribution,BlockedShot.BlockedByOwnTeam,_file,SuccessfulShot.DeflectionKeeper,SuccessfulShot.AssistContribution,SuccessfulShot.Error,SuccessfulShot.DeflectionPlayer
DFL-MAT-J03WOY,10.62,2022-09-10T21:00:54.321+02:00,46.34,18233800000484,10.62,46.34,ShotAtGoal,SavedShot,54040,2022-09-10T21:00:53.960+02:00,10.18,46.20,DFL-CLU-00000P,0.42,1.42,4,indirect,DFL-OBJ-0000F8,17.31,7.65,volley,false,DFL-OBJ-0000NZ,chance,insideRight,rightLeg,oppositionDefensiveAction,false,15.89,true,average,passOpenPlay,otherPassFromOpenPlay,0.0206,484,1,complicated,,,overHeadKick,,,,,,,average,DFL-OBJ-002FZB,arms,held,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WOY.xml,,,,
DFL-MAT-J03WOY,93.48,2022-09-10T21:16:40.000+02:00,31.39,18233800000694,93.48,31.39,ShotAtGoal,SavedShot,77686,2022-09-10T21:16:39.800+02:00,93.84,31.49,DFL-CLU-00000Q,1.76,1.27,3,direct,DFL-OBJ-002GLL,34.82,5.71,volley,false,DFL-OBJ-00019R,chance,right,head,crossFromOpenPlay,false,11.44,true,decent,crossOpenPlay,crossFromOpenPlay,0.0300,694,2,notComplicated,,,frontalVolley,,,,,,,average,DFL-OBJ-0028FW,arms,notCleared,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WOY.xml,,,,
DFL-MAT-J03WOY,91.57,2022-09-10T21:17:07.529+02:00,27.18,18233800000701,91.57,27.18,ShotAtGoal,ShotWide,78323,2022-09-10T21:17:05.280+02:00,92.76,26.20,DFL-CLU-00000Q,1.02,2.77,3,direct,DFL-OBJ-0028KZ,24.43,2.14,volley,false,DFL-OBJ-002FXA,none,right,rightLeg,otherPassFromOpenPlay,false,14.51,true,none,passOpenPlay,otherPassFromOpenPlay,0.0206,701,2,complicated,far,right,backHeel,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WOY.xml,,,,
DFL-MAT-J03WOY,93.98,2022-09-10T21:36:41.020+02:00,44.93,18233800000752,93.31,46.13,ShotAtGoal,OtherShot,,,,,DFL-CLU-00000P,,,2,indirect,DFL-OBJ-002G5J,17.56,,direct,false,DFL-OBJ-J01H9X,none,right,rightLeg,oppositionDefensiveAction,false,16.85,true,none,freeKick,freeKick,0.0706,752,,notComplicated,,,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WOY.xml,,,,
DFL-MAT-J03WOY,35.67,2022-09-10T21:42:52.815+02:00,13.94,18233800000878,28.77,32.45,ShotAtGoal,BlockedShot,113699,2022-09-10T21:42:54.840+02:00,28.69,30.49,DFL-CLU-00000Q,0.55,1.06,8,others,DFL-OBJ-0026ZT,14.33,19.20,dribblingMore10m,false,DFL-OBJ-0028KZ,chance,left,rightLeg,throwIn,false,28.90,false,average,throwIn,throwIn,0.0173,878,4,notComplicated,,,,,,,,,,,,,,DFL-OBJ-002FXT,false,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WOY.xml,,,,
DFL-MAT-J03WOY,98.39,2022-09-10T21:44:13.911+02:00,28.28,18233800000897,98.11,28.56,ShotAtGoal,BlockedShot,115688,2022-09-10T21:44:14.400+02:00,98.49,28.20,DFL-CLU-00000P,0.72,1.26,3,direct,DFL-OBJ-00028V,37.27,16.11,direct,false,DFL-OBJ-002FXT,chance,insideRight,rightLeg,otherPassFromOpenPlay,false,8.72,true,average,passOpenPlay,otherPassFromOpenPlay,0.2743,897,1,notComplicated,,,,,,,,,,,,,,DFL-OBJ-0028KZ,false,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WOY.xml,,,,
DFL-MAT-J03WOY,7.01,2022-09-10T21:48:49.280+02:00,37.51,18233800000971,7.01,37.51,ShotAtGoal,SuccessfulShot,122556,2022-09-10T21:48:49.120+02:00,7.08,38.36,DFL-CLU-00000Q,1.32,1.56,3,direct,DFL-OBJ-002FXA,42.92,11.88,volley,false,DFL-OBJ-0025BB,chance,right,head,crossFromOpenPlay,false,8.31,true,,crossOpenPlay,crossFromOpenPlay,0.1451,971,2,notComplicated,,,frontalVolley,2:1,7,correct,DFL-OBJ-002FXA,direct,false,,,,,,,47427,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WOY.xml,DFL-OBJ-0028FW,DFL-OBJ-0001IG,,
DFL-MAT-J03WOY,88.97,2022-09-10T21:50:51.473+02:00,27.78,18233800001002,88.97,27.78,ShotAtGoal,ShotWide,125630,2022-09-10T21:50:52.080+02:00,88.76,26.31,DFL-CLU-00000P,0.78,3.35,3,direct,DFL-OBJ-002G5J,21.01,15.85,direct,false,DFL-OBJ-00028V,chance,insideRight,leftLeg,otherPassFromOpenPlay,false,17.97,true,decent,passOpenPlay,otherPassFromOpenPlay,0.0704,1002,1,notComplicated,near,right,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WOY.xml,,,,
DFL-MAT-J03WOY,85.76,2022-09-10T21:52:35.745+02:00,14.34,18233800001023,86.02,13.68,ShotAtGoal,ShotWide,128217,2022-09-10T21:52:35.560+02:00,85.81,13.09,DFL-CLU-00000P,0.23,1.93,10,others,DFL-OBJ-0000F8,10.06,21.78,direct,false,DFL-OBJ-0000NZ,chance,insideRight,rightLeg,otherPassFromOpenPlay,false,28.38,false,average,passOpenPlay,otherPassFromOpenPlay,0.0247,1023,0,notComplicated,far,right,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WOY.xml,,,,
DFL-MAT-J03WOY,91.27,2022-09-10T21:54:28.932+02:00,52.45,18233800001057,84.46,51.35,ShotAtGoal,ShotWide,131095,2022-09-10T21:54:30.680+02:00,84.62,51.11,DFL-CLU-00000P,0.77,1.88,7,indirect,DFL-OBJ-002GM1,12.12,12.42,dribblingLess10m,false,DFL-OBJ-002FXT,chance,left,rightLeg,oppositionDefensiveAction,false,26.61,false,none,passOpenPlay,otherPassFromOpenPlay,0.0198,1057,2,notComplicated,far,over,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WOY.xml,,,,
