dist,angle,y_off,open_frac,open_frac_nogk,open_angle,gk_block_share,n_visible,n_opp_visible,has_gk,n_def_cone,n_def_3m,n_def_5m,d_def_min,n_corridor,d_corridor,gk_dist_goal,gk_dist_shot,gk_in_cone,gk_off_line,n_att_box,n_def_box,inside_box,shooter_speed,shooter_accel,ball_z,ball_speed,def_closing,orient,source,match_id,shot_id,goal,ref_xg,shot_type,body_part,is_head,is_fk,technique,play_pattern,under_pressure,minute,period,score_diff,dfl_dist,dfl_angle
24.205524162884807,16.488248279957325,7.07,0.6115702479338843,0.7520661157024794,10.083722088568942,0.14049586776859513,21,10,1,1,0,1,3.7497733264825555,2,3.309228069633081,2.80978646875523,21.42550116099972,1,0.3837347184673814,3,4,0,11.61,-4.5,0.11,13.83,3.3326940521262345,99.02369153485654,dfl,DFL-MAT-J03WN1,18226900000659,0,0.0379,openPlay,leftLeg,0,0,controlShot,passOpenPlay,,44.06353333333333,,2,24.21,16.49
12.99238623194369,4.980129409065256,12.86,0.2892561983471074,1.0,1.4405333001428426,0.7107438016528926,21,11,1,0,2,2,1.280624847486577,1,0.8758976062473097,3.559901684035667,9.444278691355949,1,0.24683687374649815,3,5,1,15.46,-0.14,2.0,97.69,-0.514630691088796,98.5009830184636,dfl,DFL-MAT-J03WN1,18226900000769,0,0.0358,openPlay,rightLeg,0,0,dribblingLess10m,passOpenPlay,,68.14671666666666,,-2,12.99,4.98
19.217255267077032,20.88288792625664,5.020000000000003,0.09090909090909091,0.09090909090909091,1.8984443569324219,0.0,21,11,1,6,0,0,8.464968989901847,7,8.242009475273573,1.0700467279516357,18.307006855299964,1,0.5489909903041363,7,10,0,8.23,-5.61,0.14,58.94,1.793048017982403,54.43208362515406,dfl,DFL-MAT-J03WN1,18226900000878,0,0.1065,FreeKick,rightLeg,0,1,setPiece,freeKick,,77.40786666666666,,-2,19.22,20.88
10.468261555769422,25.756176522205408,8.329999999999998,0.7355371900826446,1.0,18.944625706415547,0.2644628099173554,21,11,1,0,3,3,1.1985407794480643,1,2.3170991545039956,3.9685009764393384,6.540833280248017,1,0.44988367695153886,2,5,1,28.04,0.0,0.03,25.46,2.5193651945435733,3.932011605199988,dfl,DFL-MAT-J03WN1,18226900000899,0,0.2279,openPlay,rightLeg,0,0,dribblingLess10m,passOpenPlay,,78.67528333333333,,-2,10.47,25.76
11.465517868809945,22.40669873955653,9.340000000000003,0.7603305785123967,1.0,17.036498215200005,0.23966942148760328,21,11,1,0,2,4,1.2133424908079415,1,0.7751154463049581,3.153173005085517,8.374270117449043,1,0.531175309278212,4,6,1,9.15,-0.53,0.0,6.91,-0.43288111884831043,14.687578170660593,dfl,DFL-MAT-J03WN1,18226900000951,0,0.1041,openPlay,leftLeg,0,0,dribblingLess10m,passOpenPlay,,82.39865,,-2,11.47,22.41
11.343513565029138,34.26780618904637,3.6799999999999997,0.6776859504132231,0.6776859504132231,23.222810805800016,0.0,21,10,1,1,0,1,4.111763611882373,1,4.061290158106463,3.0294719011735403,8.876361867341819,1,1.5492113531892993,1,3,1,20.34,-0.46,0.0,35.68,0.8457308374853048,13.533551419955826,dfl,DFL-MAT-J03WN1,18226900001121,0,0.2427,openPlay,leftLeg,0,0,direct,passOpenPlay,,96.02261666666666,,2,11.34,34.27
18.574057176610612,19.272927473191423,9.700000000000003,0.7851239669421488,1.0,15.131637272340374,0.2148760330578512,21,10,1,0,1,2,2.0350184274349914,0,40.0,6.725689555725869,11.84890290280075,1,0.06777194600138894,0,2,1,19.43,-1.96,0.93,25.21,2.3410211033688224,28.82149602395156,dfl,DFL-MAT-J03WN1,18226900001209,1,0.1896,openPlay,leftLeg,0,0,direct,passOpenPlay,,102.2736,,2,18.57,19.27
17.564538137964234,17.135045574845982,12.41,0.7933884297520661,1.0,13.594746902357143,0.20661157024793386,21,10,1,0,1,1,0.445982062419545,1,0.02085451932314164,4.830372656431381,12.813918214191952,1,0.7463048499787868,0,2,1,22.95,-3.19,0.0,21.52,0.640554325755005,33.415666838232156,dfl,DFL-MAT-J03WN1,18226900001233,0,0.0679,openPlay,rightLeg,0,0,direct,passOpenPlay,,106.35178333333333,,3,17.56,17.14
9.352903292561086,27.55192345971387,7.719999999999999,0.34710743801652894,0.4462809917355372,9.563477564528782,0.09917355371900827,22,11,1,0,1,2,2.214723459035011,2,2.18409186549029,1.6037767924496218,7.754953255823017,1,0.12436779934688227,6,10,1,3.95,0.88,2.05,73.88,0.4077245268512503,153.24352087991772,dfl,DFL-MAT-J03WOH,18232100000016,0,0.0325,openPlay,head,1,0,volley,freeKick,,0.0,,0,9.35,27.55
9.534678809482786,38.78650306608055,4.299999999999997,0.38016528925619836,0.5206611570247934,14.745282157352936,0.14049586776859507,22,11,1,1,5,9,1.866252930339288,4,0.07942585325966389,1.086001841619066,8.57580899973874,1,0.4833618512053435,6,10,1,2.9,-1.93,0.08,7.42,0.1308336996731574,171.9853808459399,dfl,DFL-MAT-J03WOH,18232100000022,0,0.0897,openPlay,rightLeg,0,0,controlShot,cornerKick,,0.624,,0,9.53,38.79
18.31002457671753,20.190978281830997,8.59,0.1487603305785124,0.1487603305785124,3.0036166039087435,0.0,22,11,1,1,1,1,2.9435352894096654,1,2.943535098720343,6.9164730896606486,11.393585914890895,1,0.017214613704058992,1,2,1,10.45,-6.82,0.11,13.75,0.6938971590813363,55.298337720855415,dfl,DFL-MAT-J03WOH,18232100000067,0,0.1467,openPlay,rightLeg,0,0,dribblingMore10m,passOpenPlay,,4.061466666666666,,0,18.31,20.19
23.228176854845927,14.351133252531378,14.189999999999998,0.4462809917355372,0.6115702479338843,6.404637980468549,0.16528925619834706,22,11,1,0,1,1,1.527383383437179,2,1.4412108280902816,2.22766694099454,21.016034354749237,1,0.24971826399668298,1,4,0,14.7,-2.14,0.11,12.27,2.034537003326419,5.770938124063583,dfl,DFL-MAT-J03WOH,18232100000117,0,0.0246,openPlay,rightLeg,0,0,dribblingMore10m,run,,8.3058,,0,23.23,14.35
8.039912934851966,44.626720513333346,4.109999999999999,0.8429752066115702,1.0,37.619218945123976,0.15702479338842978,22,11,1,0,2,3,1.0040418317978603,2,0.043296488758105434,2.058008746337092,6.189830369242769,1,0.7893369059371383,2,7,1,8.58,0.8,1.96,61.41,2.0717532318848195,2.0039699939696503,dfl,DFL-MAT-J03WOH,18232100000253,0,0.0607,openPlay,head,1,0,volley,crossOpenPlay,,16.237916666666667,,0,8.04,44.63
14.117230606602696,28.710336500184884,2.41,0.7024793388429752,0.8347107438016529,20.168418202609214,0.1322314049586777,22,11,1,1,3,3,1.6430459518832756,2,1.2904372328861353,1.1872657663724666,13.030771274180202,1,0.45989189954603965,2,7,1,5.95,-0.45,2.44,42.35,3.199131425112334,50.66555017342321,dfl,DFL-MAT-J03WOH,18232100000298,0,0.066,openPlay,rightLeg,0,0,controlShot,crossOpenPlay,,19.216783333333336,,0,14.12,28.71
24.359659275121235,14.349793047932641,13.510000000000005,0.0,0.0,0.0,0.0,22,11,1,0,1,2,1.1892854997854798,2,1.175944198417258,2.4410038918445003,21.928285386687214,1,0.2055160108545968,2,5,0,9.39,-4.22,0.15,11.38,2.014726708213229,81.5473487991577,dfl,DFL-MAT-J03WOH,18232100000402,0,0.0192,openPlay,rightLeg,0,0,dribblingLess10m,lossOfPossession,,25.626466666666666,,0,24.36,14.35
18.060412509131677,22.523680636104867,3.490000000000002,0.8429752066115702,1.0,18.986904337873522,0.15702479338842978,22,11,1,0,0,2,3.0486882425069384,0,40.0,3.7881129866993244,14.294645850807207,1,0.3654899906999661,2,3,0,20.44,-2.01,0.16,23.1,2.833575574924845,34.54531983100496,dfl,DFL-MAT-J03WOH,18232100000445,0,0.1649,openPlay,leftLeg,0,0,dribblingMore10m,lossOfPossession,,27.983166666666666,,0,18.06,22.52
20.68722552688011,13.244544066829777,15.82,0.0,0.0,0.0,0.0,22,11,1,1,1,2,1.430034964607513,1,1.4271367594285902,3.6741393550054635,17.018225524419407,1,0.1761956911652566,1,3,1,14.27,-5.2,0.14,18.84,0.9905525485219348,53.65030501047699,dfl,DFL-MAT-J03WOH,18232100000478,0,0.0279,openPlay,rightLeg,0,0,dribblingMore10m,run,,30.10533333333333,,0,20.69,13.24
