ev.MatchId,ev.CalculatedFrame,ev.X-Source-Position,ev.EventTime,ev.Y-Source-Position,ev.CalculatedTimestamp,ev.EventId,ev.X-PositionFromTracking,ev.X-Position,ev.Y-PositionFromTracking,ev.Y-Position,setpiece_parent,Team,Pressure,GoalDistanceGoalkeeper,ShotOrigin,AssistTypeShotAtGoal,AssistShotAtGoal,AngleToGoal,PlayerSpeed,TakerBallControl,CounterAttack,Player,ChanceEvaluation,SetupOrigin,TypeOfShot,TakerSetup,AfterFreeKick,DistanceToGoal,InsideBox,SignificanceEvaluation,BuildUp,AssistAction,xG,BallPossessionPhase,AmountOfDefenders,ShotCondition,outcome,out.Placing,out.PitchMarking,ExtendedTypeOfShot,out.CurrentResult,out.GoalZone,out.RefDecisionEvaluation,out.Assist,out.AssistType,out.Solo,out.SaveEvaluation,out.GoalKeeper,out.SaveType,out.SaveResult,out.Player,out.GoalPrevented,ShotContribution,out.Location,SitterContribution,out.BlockedByOwnTeam,Penalty.Team,Penalty.CausingPlayer,Penalty.GoalkeeperBehaviour,Penalty.DecisionTimestamp,Penalty.ProspectiveTaker,Penalty.RefDecisionEvaluation,Penalty.RetakenPenalty,Penalty.PlayersInBox,Penalty.GoalkeeperMovement,PenaltyDirection,PenaltyExecution,src_file,out.DeflectionKeeper,ev.EndFrame,ev.StartFrame,FreeKick.DecisionTimestamp,FreeKick.Team,FreeKick.ExecutionMode,DirectFreeKickIntention,Rotation,out.AssistContribution,Penalty.FouledPlayer,ShotAssistFouledPlayer,out.AssistFouledPlayer,out.Error,out.DeflectionPlayer,goal
DFL-MAT-J03WR9,20379.0,102.9,2022-11-11 18:38:10.895000+01:00,29.59,2022-11-11T18:38:07.520+01:00,18242100000118,102.46,102.9,29.52,29.59,openPlay,DFL-CLU-00000P,0.97,1.38,3,direct,DFL-OBJ-00008K,54.78,15.15,volley,0,DFL-OBJ-002GMO,chance,left,head,header,0,5.15,1,decent,cornerKick,header,0.2353,118,2.0,complicated,SavedShot,,,frontalVolley,,,,,,,average,DFL-OBJ-00003W,arms,held,,,50573,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WR9.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WR9,29840.0,71.64,2022-11-11 18:44:26.320000+01:00,51.15,2022-11-11T18:44:25.960+01:00,18242100000216,88.36,87.62,38.0,37.74,openPlay,DFL-CLU-00000P,1.2,3.74,8,others,DFL-OBJ-0026RH,23.55,17.21,dribblingMore10m,0,DFL-OBJ-J01KJ5,chance,insideLeft,rightLeg,otherPassFromOpenPlay,0,17.11,0,,passOpenPlay,otherPassFromOpenPlay,0.056,216,1.0,notComplicated,SuccessfulShot,,,,1:0,5,correct,DFL-OBJ-0026RH,others,true,,,,,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WR9.xml,,,,,,,,,,,,,,,1
DFL-MAT-J03WR9,34612.0,71.74,2022-11-11 18:47:39.029000+01:00,50.85,2022-11-11T18:47:36.840+01:00,18242100000263,75.25,77.13,34.7,33.15,openPlay,DFL-CLU-00000P,0.0,2.72,8,others,DFL-OBJ-J01KJ5,14.02,14.01,dribblingMore10m,0,DFL-OBJ-002FXT,chance,left,rightLeg,otherPassFromOpenPlay,0,29.76,0,average,passOpenPlay,otherPassFromOpenPlay,0.0269,263,1.0,notComplicated,SavedShot,,,,,,,,,,average,DFL-OBJ-00003W,arms,cleared,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WR9.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WR9,37344.0,8.82,2022-11-11 18:49:24.174000+01:00,45.73,2022-11-11T18:49:26.120+01:00,18242100000296,6.55,8.82,46.29,45.73,openPlay,DFL-CLU-00000I,0.88,2.43,4,direct,DFL-OBJ-0001ZY,14.87,16.26,direct,0,DFL-OBJ-0000YE,chance,insideRight,rightLeg,otherPassFromOpenPlay,0,13.93,1,average,passOpenPlay,otherPassFromOpenPlay,0.0683,296,1.0,notComplicated,BlockedShot,,,,,,,,,,,,,,DFL-OBJ-002GMO,false,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WR9.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WR9,56439.0,56.11,2022-11-11 19:02:09.754000+01:00,15.45,2022-11-11T19:02:09.920+01:00,18242100000496,81.95,81.25,24.06,25.17,openPlay,DFL-CLU-00000P,0.56,2.58,8,others,DFL-OBJ-00028V,15.3,13.24,dribblingMore10m,0,DFL-OBJ-002GM1,chance,insideRight,rightLeg,otherPassFromOpenPlay,0,25.1,0,average,run,otherPassFromOpenPlay,0.0245,496,1.0,notComplicated,ShotWide,far,overCrossbarRight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WR9.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WR9,62243.0,75.24,2022-11-11 19:06:00.997000+01:00,35.4,2022-11-11T19:06:02.080+01:00,18242100000567,85.59,86.52,50.46,49.13,openPlay,DFL-CLU-00000P,0.92,2.89,7,others,DFL-OBJ-00028V,12.63,18.03,dribblingMore10m,0,DFL-OBJ-002FXT,chance,left,leftLeg,otherPassFromOpenPlay,0,25.45,0,average,passOpenPlay,otherPassFromOpenPlay,0.019,567,1.0,notComplicated,SavedShot,,,,,,,,,,average,DFL-OBJ-00003W,arms,held,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WR9.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WR9,70093.0,89.57,2022-11-11 19:11:16.348000+01:00,26.98,2022-11-11T19:11:16.080+01:00,18242100000653,87.65,87.72,26.25,26.36,openPlay,DFL-CLU-00000P,0.1,11.31,8,,,20.07,23.22,dribblingLess10m,0,DFL-OBJ-00028V,sitter,insideRight,rightLeg,oppositionMisplacedPass,0,19.0,0,outstanding,lossOfPossession,,0.3421,653,0.0,notComplicated,ShotWide,far,left,,,,,,,,,,,,,,,,DFL-OBJ-00028V,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WR9.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WR9,73381.0,76.35,2022-11-11 19:13:29.459000+01:00,51.65,2022-11-11T19:13:27.600+01:00,18242100000680,76.2,76.83,50.95,48.83,openPlay,DFL-CLU-00000P,0.0,2.85,7,indirect,DFL-OBJ-J01KJ5,10.82,13.41,volley,0,DFL-OBJ-002FXT,chance,left,rightLeg,oppositionDefensiveAction,0,33.42,0,average,throwIn,throwIn,0.0237,680,2.0,notComplicated,ShotWide,near,left,frontalVolley,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WR9.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WR9,75674.0,83.36,2022-11-11 19:14:59.558000+01:00,23.07,2022-11-11T19:14:59.320+01:00,18242100000699,82.19,83.36,24.03,23.07,openPlay,DFL-CLU-00000P,0.51,2.51,9,indirect,DFL-OBJ-J0130T,15.4,14.58,direct,0,DFL-OBJ-0000NZ,chance,left,rightLeg,oppositionDefensiveAction,0,24.89,0,average,cornerKick,cornerKick,0.0186,699,5.0,notComplicated,BlockedShot,,,,,,,,,,,,,,DFL-OBJ-0002DT,false,,,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WR9.xml,,,,,,,,,,,,,,,0
DFL-MAT-J03WR9,100835.0,88.97,2022-11-11 19:34:02.401000+01:00,49.65,2022-11-11T19:33:57.080+01:00,18242100000746,88.84,89.71,47.17,47.83,openPlay,DFL-CLU-00000I,0.32,1.66,2,direct,DFL-OBJ-0000YE,15.69,5.8,direct,0,DFL-OBJ-0025YM,chance,left,rightLeg,otherPassFromOpenPlay,0,20.85,1,outstanding,crossOpenPlay,otherPassFromOpenPlay,0.0221,746,3.0,notComplicated,ShotWoodWork,,,,,,,,,,,,,,,,49496,crossBar,,,,,,,,,,,,,,DFL_03_02_events_raw_DFL-COM-000002_DFL-MAT-J03WR9.xml,,,,,,,,,,,,,,,0
